"product_id","category_id","depth","name_tr","name_en"
"4206","205","0","İç Aydınlatma","Indoor Lighting"
"4206","207","1","Sıva Altı Backlight Led Paneller","Led Backlight Panel Lights"
"4207","205","0","İç Aydınlatma","Indoor Lighting"
"4207","207","1","Sıva Altı Backlight Led Paneller","Led Backlight Panel Lights"
"4208","205","0","İç Aydınlatma","Indoor Lighting"
"4208","207","1","Sıva Altı Backlight Led Paneller","Led Backlight Panel Lights"
"4209","205","0","İç Aydınlatma","Indoor Lighting"
"4209","207","1","Sıva Altı Backlight Led Paneller","Led Backlight Panel Lights"
"4210","205","0","İç Aydınlatma","Indoor Lighting"
"4210","207","1","Sıva Altı Backlight Led Paneller","Led Backlight Panel Lights"
"4211","205","0","İç Aydınlatma","Indoor Lighting"
"4211","207","1","Sıva Altı Backlight Led Paneller","Led Backlight Panel Lights"
"4212","205","0","İç Aydınlatma","Indoor Lighting"
"4212","207","1","Sıva Altı Backlight Led Paneller","Led Backlight Panel Lights"
"4213","205","0","İç Aydınlatma","Indoor Lighting"
"4213","207","1","Sıva Altı Backlight Led Paneller","Led Backlight Panel Lights"
"4214","205","0","İç Aydınlatma","Indoor Lighting"
"4214","207","1","Sıva Altı Backlight Led Paneller","Led Backlight Panel Lights"
"4215","205","0","İç Aydınlatma","Indoor Lighting"
"4215","207","1","Sıva Altı Backlight Led Paneller","Led Backlight Panel Lights"
"4216","205","0","İç Aydınlatma","Indoor Lighting"
"4216","207","1","Sıva Altı Backlight Led Paneller","Led Backlight Panel Lights"
"4217","205","0","İç Aydınlatma","Indoor Lighting"
"4217","207","1","Sıva Altı Backlight Led Paneller","Led Backlight Panel Lights"
"4218","205","0","İç Aydınlatma","Indoor Lighting"
"4218","207","1","Sıva Altı Backlight Led Paneller","Led Backlight Panel Lights"
"4219","205","0","İç Aydınlatma","Indoor Lighting"
"4219","207","1","Sıva Altı Backlight Led Paneller","Led Backlight Panel Lights"
"4220","205","0","İç Aydınlatma","Indoor Lighting"
"4220","207","1","Sıva Altı Backlight Led Paneller","Led Backlight Panel Lights"
"4221","205","0","İç Aydınlatma","Indoor Lighting"
"4221","207","1","Sıva Altı Backlight Led Paneller","Led Backlight Panel Lights"
"4222","205","0","İç Aydınlatma","Indoor Lighting"
"4222","207","1","Sıva Altı Backlight Led Paneller","Led Backlight Panel Lights"
"4223","205","0","İç Aydınlatma","Indoor Lighting"
"4223","207","1","Sıva Altı Backlight Led Paneller","Led Backlight Panel Lights"
"4224","205","0","İç Aydınlatma","Indoor Lighting"
"4224","207","1","Sıva Altı Backlight Led Paneller","Led Backlight Panel Lights"
"4225","205","0","İç Aydınlatma","Indoor Lighting"
"4225","207","1","Sıva Altı Backlight Led Paneller","Led Backlight Panel Lights"
"4226","205","0","İç Aydınlatma","Indoor Lighting"
"4226","207","1","Sıva Altı Backlight Led Paneller","Led Backlight Panel Lights"
"4232","208","0","Ampuller","Bulbs"
"4232","209","1","Tasarruflu Ampuller","Energy Saving Bulbs"
"4238","208","0","Ampuller","Bulbs"
"4238","209","1","Tasarruflu Ampuller","Energy Saving Bulbs"
"4246","208","0","Ampuller","Bulbs"
"4246","209","1","Tasarruflu Ampuller","Energy Saving Bulbs"
"4252","208","0","Ampuller","Bulbs"
"4252","209","1","Tasarruflu Ampuller","Energy Saving Bulbs"
"4255","208","0","Ampuller","Bulbs"
"4255","210","1","Led Buji Ampuller","Led Candle Bulbs"
"4256","208","0","Ampuller","Bulbs"
"4256","210","1","Led Buji Ampuller","Led Candle Bulbs"
"4257","205","0","İç Aydınlatma","Indoor Lighting"
"4257","211","1","Ledli Yatay Bant Armatürler","Led Wall Pictures"
"4258","205","0","İç Aydınlatma","Indoor Lighting"
"4258","211","1","Ledli Yatay Bant Armatürler","Led Wall Pictures"
"4259","205","0","İç Aydınlatma","Indoor Lighting"
"4259","211","1","Ledli Yatay Bant Armatürler","Led Wall Pictures"
"4260","205","0","İç Aydınlatma","Indoor Lighting"
"4260","211","1","Ledli Yatay Bant Armatürler","Led Wall Pictures"
"4261","205","0","İç Aydınlatma","Indoor Lighting"
"4261","212","1","Sıva Üstü Panel Kasaları","Panel Bodies &amp; Accesories"
"4262","205","0","İç Aydınlatma","Indoor Lighting"
"4262","212","1","Sıva Üstü Panel Kasaları","Panel Bodies &amp; Accesories"
"4263","205","0","İç Aydınlatma","Indoor Lighting"
"4263","212","1","Sıva Üstü Panel Kasaları","Panel Bodies &amp; Accesories"
"4264","205","0","İç Aydınlatma","Indoor Lighting"
"4264","212","1","Sıva Üstü Panel Kasaları","Panel Bodies &amp; Accesories"
"4265","205","0","İç Aydınlatma","Indoor Lighting"
"4265","212","1","Sıva Üstü Panel Kasaları","Panel Bodies &amp; Accesories"
"4266","205","0","İç Aydınlatma","Indoor Lighting"
"4266","212","1","Sıva Üstü Panel Kasaları","Panel Bodies &amp; Accesories"
"4267","205","0","İç Aydınlatma","Indoor Lighting"
"4267","212","1","Sıva Üstü Panel Kasaları","Panel Bodies &amp; Accesories"
"4268","205","0","İç Aydınlatma","Indoor Lighting"
"4268","212","1","Sıva Üstü Panel Kasaları","Panel Bodies &amp; Accesories"
"4269","205","0","İç Aydınlatma","Indoor Lighting"
"4269","212","1","Sıva Üstü Panel Kasaları","Panel Bodies &amp; Accesories"
"4270","213","0","Dış Aydınlatma","Outdoor Lighting"
"4270","214","1","Bahçe Armatürleri","Garden Fixtures"
"4271","213","0","Dış Aydınlatma","Outdoor Lighting"
"4271","214","1","Bahçe Armatürleri","Garden Fixtures"
"4272","213","0","Dış Aydınlatma","Outdoor Lighting"
"4272","214","1","Bahçe Armatürleri","Garden Fixtures"
"4273","213","0","Dış Aydınlatma","Outdoor Lighting"
"4273","214","1","Bahçe Armatürleri","Garden Fixtures"
"4274","213","0","Dış Aydınlatma","Outdoor Lighting"
"4274","214","1","Bahçe Armatürleri","Garden Fixtures"
"4275","213","0","Dış Aydınlatma","Outdoor Lighting"
"4275","214","1","Bahçe Armatürleri","Garden Fixtures"
"4276","213","0","Dış Aydınlatma","Outdoor Lighting"
"4276","214","1","Bahçe Armatürleri","Garden Fixtures"
"4277","213","0","Dış Aydınlatma","Outdoor Lighting"
"4277","214","1","Bahçe Armatürleri","Garden Fixtures"
"4278","205","0","İç Aydınlatma","Indoor Lighting"
